feature_id,area,feature,user_story,expected_behavior,source_evidence,verification_status,last_tested,test_evidence,defect_id,notes
F001,Public Home,Launch page hero and model field,As a visitor I want a public landing page that explains LLM Survivor and points me into the app.,"The root route renders a hero, benchmark claims, system explanation, and a 16-model launch field with links to /benchmark and the model field section.",frontend/src/app/page.tsx,Browser passed,2026-06-23,"Browser / at 1280x720: title/hero/nav present, no console warnings/errors","",Code-inferred from current dirty worktree.
F002,Navigation,Mode tabs,"As a user I want persistent navigation between Benchmarking, Arena, and the public home.","The shared layout renders a brand link to / plus Benchmarking and Arena tabs, marks the active tab with aria-current, and uses /benchmark and /arena links.",frontend/src/components/navigation/ModeTabs.tsx; frontend/src/app/layout.tsx,Browser passed,2026-06-23,"Browser / and /arena tabs visible/active, no console warnings/errors","",""
F003,Networking,Frontend API base selection,As a local developer I want frontend API calls to hit the FastAPI backend in dev and same-origin in deployment.,apiUrl uses NEXT_PUBLIC_API_URL when configured; on localhost:3000 or 3001 it defaults to http://localhost:8000; otherwise it uses same-origin paths. mediaUrl preserves absolute URLs and resolves relative media through apiUrl.,frontend/src/lib/api.ts,Source probe passed,2026-06-23,"node source probe of frontend/src/lib/api.ts mocked NEXT_PUBLIC_API_URL, localhost 3000/3001, deployed host, and media URLs; all expected URLs matched","",""
F004,Public Shell,Static frontend serving from FastAPI,As a deployed visitor I want FastAPI to serve exported Next routes and assets when the single-service build is used.,"FastAPI serves /_next static assets, resolves frontend files from FRONTEND_DIST, rejects unsafe paths, falls back to index.html when present, and returns 404 when no frontend build exists.",backend/api.py,Backend unit passed,2026-06-23,"backend/tests/test_api_static_serving.py covers /_next and /media/voice mounts, frontend file/index fallback, unsafe path rejection, and missing-build 404 helper path","",New focused backend test added.
F005,Health,Backend health check,As an operator I want a cheap health endpoint that initializes the database if needed.,GET /health calls ensure_database and returns {status: ok}.,backend/api.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F010,Benchmark Load,Episode player bootstrap,"As a benchmark viewer I want /benchmark to load the current episode, game state, summary, and rosters together.","EpisodePlayer fetches /api/episode/current?include_audio=true, /api/state, /api/game/summary, and /api/model-rosters, then renders the episode state and initializes playback from shared viewer state when present.",frontend/src/app/benchmark/page.tsx; frontend/src/components/broadcast/EpisodePlayer.tsx,Browser passed,2026-06-23,"Browser /benchmark loaded episode/state/summary/rosters, no console warnings/errors","",""
F011,Benchmark Empty State,No-events replay state,As an operator I want a useful empty stage before replay beats exist.,SceneStage shows a waiting clapperboard state telling the user to use Next Turn or Build Round when currentEvent is null.,frontend/src/components/broadcast/SceneStage.tsx,Browser passed,2026-06-23,Browser /benchmark after reset showed waiting stage with Next Turn/Build Round prompt,"",""
F012,Benchmark Scenes,Scene routing,As a viewer I want each story event kind to render in the right broadcast frame.,"SceneStage renders conversation events with ConversationScene, confessional and exit_confessional with ConfessionalFrame, vote_reveal with VoteRevealScene, and all other event kinds with TribalCouncilScene.",frontend/src/components/broadcast/SceneStage.tsx,Browser passed,2026-06-23,"Browser/IAB replay beats 1, 4, 30, 46, 63, and 64 rendered ConversationScene, ConfessionalFrame, TribalCouncilScene, and VoteRevealScene as expected with no console warnings/errors","",""
F013,Benchmark Scenes,Conversation scene and speaker lines,As a viewer I want camp and group strategy scenes to show visible participants and their spoken lines.,"ConversationScene shows camp/group bug labels, CastTableau focus, one SpeechBubble per event speaker line, scene note/subtitle, and lower third for the primary actor.",frontend/src/components/broadcast/scenes/ConversationScene.tsx; backend/turn_controller.py,Browser passed,2026-06-23,Browser Build Round rendered camp conversation with GLM speaker bubbles and cast focus,"",""
F014,Benchmark Scenes,Tribal/challenge/finale scene frame,"As a viewer I want host, challenge, finale, memory, and tribal beats to use one clear broadcast frame.","TribalCouncilScene labels scenes as Challenge, Finale, Season Ledger, or Tribal Conference; shows host/contestant portraits, dialogue bubbles, lower thirds, and elimination styling.",frontend/src/components/broadcast/scenes/TribalCouncilScene.tsx,Browser passed,2026-06-23,"Browser/IAB confirmed Challenge, Tribal Conference, Season Ledger, and Finale scene labels with portraits/dialogue/lower thirds visible and no console warnings/errors","",""
F015,Benchmark Scenes,Vote booth presentation,As a viewer I want each model vote to show who is voting and the target without hiding the model rationale.,"Vote booth events render the voting model portrait, a speech bubble including vote explanation when needed, and a vote intent card with the target name.",frontend/src/components/broadcast/scenes/TribalCouncilScene.tsx; backend/turn_controller.py,Browser passed,2026-06-23,Browser/IAB beat 30 vote booth showed voter speech with explanation and vote intent card targeting Claude Opus 4.8; no alert/logs,"",""
F016,Benchmark Scenes,Vote reveal presentation,As a viewer I want votes to reveal one card at a time with a public tally.,"VoteRevealScene shows the host line, a flipping vote card, and the revealed tally keyed to model display names.",frontend/src/components/broadcast/scenes/VoteRevealScene.tsx,Browser passed,2026-06-23,"Browser/IAB beat 46 vote reveal showed host speech, flipping vote card content, and Public Tally keyed to Claude Opus 4.8; no alert/logs","",""
F017,Benchmark Scenes,Confessional frame,"As a viewer I want confessionals to show the speaking model, public dialogue, private thought when available, host narration, and lower third.","ConfessionalFrame renders portrait, dialogue, inner_thought blockquote, HostNarration, and LowerThird.",frontend/src/components/broadcast/scenes/ConfessionalFrame.tsx,Browser passed,2026-06-23,"Browser/IAB beat 4 and exit beat 63 rendered confessional frame with portrait, copy, inner_thought blockquote, host narration, and lower third; no logs","",""
